vote_event:id,voter:id,option
11-15,"Haas, Libor",for
11-16,"Haas, Libor",for
8-1,"Hurajèík, Martin",for
8-2,"Hurajèík, Martin",for
8-3,"Hurajèík, Martin",for
8-4,"Hurajèík, Martin",for
8-5,"Hurajèík, Martin",for
8-6,"Hurajèík, Martin",for
8-7,"Hurajèík, Martin",for
8-8,"Hurajèík, Martin",for
8-9,"Hurajèík, Martin",for
8-10,"Hurajèík, Martin",for
8-11,"Hurajèík, Martin",for
8-12,"Hurajèík, Martin",for
8-13,"Hurajèík, Martin",for
8-14,"Hurajèík, Martin",for
8-15,"Hurajèík, Martin",for
8-16,"Hurajèík, Martin",for
8-17,"Hurajèík, Martin",for
8-18,"Hurajèík, Martin",for
8-19,"Hurajèík, Martin",for
8-20,"Hurajèík, Martin",for
8-21,"Hurajèík, Martin",for
8-22,"Hurajèík, Martin",for
8-23,"Hurajèík, Martin",abstain
8-24,"Hurajèík, Martin",for
8-25,"Hurajèík, Martin",for
8-26,"Hurajèík, Martin",for
8-27,"Hurajèík, Martin",for
8-28,"Hurajèík, Martin",abstain
8-29,"Hurajèík, Martin",for
8-30,"Hurajèík, Martin",for
8-31,"Hurajèík, Martin",for
8-32,"Hurajèík, Martin",for
8-33,"Hurajèík, Martin",for
8-34,"Hurajèík, Martin",for
8-35,"Hurajèík, Martin",for
8-36,"Hurajèík, Martin",for
8-37,"Hurajèík, Martin",for
8-38,"Hurajèík, Martin",for
8-39,"Hurajèík, Martin",for
8-40,"Hurajèík, Martin",for
8-41,"Hurajèík, Martin",for
9-1,"Hurajèík, Martin",for
9-2,"Hurajèík, Martin",for
9-3,"Hurajèík, Martin",for
9-4,"Hurajèík, Martin",for
9-5,"Hurajèík, Martin",for
9-6,"Hurajèík, Martin",for
9-7,"Hurajèík, Martin",for
9-8,"Hurajèík, Martin",for
9-9,"Hurajèík, Martin",for
9-10,"Hurajèík, Martin",for
9-11,"Hurajèík, Martin",for
9-12,"Hurajèík, Martin",for
9-13,"Hurajèík, Martin",for
9-14,"Hurajèík, Martin",for
9-15,"Hurajèík, Martin",for
9-16,"Hurajèík, Martin",for
9-17,"Hurajèík, Martin",for
9-18,"Hurajèík, Martin",for
9-19,"Hurajèík, Martin",for
9-20,"Hurajèík, Martin",for
9-21,"Hurajèík, Martin",for
9-22,"Hurajèík, Martin",for
9-23,"Hurajèík, Martin",for
9-24,"Hurajèík, Martin",for
9-25,"Hurajèík, Martin",for
9-26,"Hurajèík, Martin",for
9-27,"Hurajèík, Martin",for
9-28,"Hurajèík, Martin",for
9-29,"Hurajèík, Martin",for
9-30,"Hurajèík, Martin",for
9-31,"Hurajèík, Martin",for
9-32,"Hurajèík, Martin",for
9-33,"Hurajèík, Martin",for
9-34,"Hurajèík, Martin",for
9-35,"Hurajèík, Martin",for
9-36,"Hurajèík, Martin",for
9-37,"Hurajèík, Martin",for
9-38,"Hurajèík, Martin",abstain
10-1,"Hurajèík, Martin",for
10-2,"Hurajèík, Martin",for
10-3,"Hurajèík, Martin",for
10-4,"Hurajèík, Martin",for
10-5,"Hurajèík, Martin",for
10-6,"Hurajèík, Martin",for
10-7,"Hurajèík, Martin",for
10-8,"Hurajèík, Martin",for
10-9,"Hurajèík, Martin",for
10-10,"Hurajèík, Martin",for
10-11,"Hurajèík, Martin",for
10-12,"Hurajèík, Martin",for
10-13,"Hurajèík, Martin",for
10-14,"Hurajèík, Martin",for
10-15,"Hurajèík, Martin",for
10-16,"Hurajèík, Martin",abstain
11-1,"Hurajèík, Martin",for
11-2,"Hurajèík, Martin",for
11-3,"Hurajèík, Martin",for
11-4,"Hurajèík, Martin",for
11-5,"Hurajèík, Martin",for
11-6,"Hurajèík, Martin",for
11-7,"Hurajèík, Martin",for
11-8,"Hurajèík, Martin",for
11-9,"Hurajèík, Martin",for
11-10,"Hurajèík, Martin",for
11-11,"Hurajèík, Martin",for
11-12,"Hurajèík, Martin",for
11-13,"Hurajèík, Martin",for
11-14,"Hurajèík, Martin",for
11-15,"Hurajèík, Martin",for
11-16,"Hurajèík, Martin",for
8-1,"Chval, Jiøí",abstent
8-2,"Chval, Jiøí",abstent
8-3,"Chval, Jiøí",abstent
8-4,"Chval, Jiøí",abstent
8-5,"Chval, Jiøí",abstent
8-6,"Chval, Jiøí",abstent
8-7,"Chval, Jiøí",abstent
8-8,"Chval, Jiøí",abstent
8-9,"Chval, Jiøí",abstent
8-10,"Chval, Jiøí",abstent
8-11,"Chval, Jiøí",abstent
8-12,"Chval, Jiøí",abstent
8-13,"Chval, Jiøí",abstent
8-14,"Chval, Jiøí",abstent
8-15,"Chval, Jiøí",abstent
8-16,"Chval, Jiøí",abstent
8-17,"Chval, Jiøí",abstent
8-18,"Chval, Jiøí",for
8-19,"Chval, Jiøí",for
8-20,"Chval, Jiøí",for
8-21,"Chval, Jiøí",for
8-22,"Chval, Jiøí",for
8-23,"Chval, Jiøí",for
8-24,"Chval, Jiøí",for
8-25,"Chval, Jiøí",for
8-26,"Chval, Jiøí",for
8-27,"Chval, Jiøí",for
8-28,"Chval, Jiøí",for
8-29,"Chval, Jiøí",for
8-30,"Chval, Jiøí",for
8-31,"Chval, Jiøí",for
8-32,"Chval, Jiøí",for
8-33,"Chval, Jiøí",for
8-34,"Chval, Jiøí",for
8-35,"Chval, Jiøí",for
8-36,"Chval, Jiøí",for
8-37,"Chval, Jiøí",for
8-38,"Chval, Jiøí",for
8-39,"Chval, Jiøí",for
8-40,"Chval, Jiøí",for
8-41,"Chval, Jiøí",for
9-1,"Chval, Jiøí",absent
9-2,"Chval, Jiøí",absent
9-3,"Chval, Jiøí",absent
9-4,"Chval, Jiøí",absent
9-5,"Chval, Jiøí",absent
9-6,"Chval, Jiøí",absent
9-7,"Chval, Jiøí",absent
9-8,"Chval, Jiøí",absent
9-9,"Chval, Jiøí",absent
9-10,"Chval, Jiøí",absent
9-11,"Chval, Jiøí",absent
9-12,"Chval, Jiøí",absent
9-13,"Chval, Jiøí",absent
