"id","start_date","start_time","number","motion.title","result","legislative_session.id","legislative_session.number"
"zmb-z7-02/20141219-25-39327","19.12.2014","10:55:27",25," Bod è. 10 Vısledky hospodaøení statutárního mìsta Brna za I. – III. ètvrtletí roku 2014 ","Pøijato",2875,2
"zmb-z7-02/20141219-26-51629","19.12.2014","14:20:29",26," Bod è. 11 - návrh p. Øíhy Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Nepøijato",2875,2
"zmb-z7-02/20141219-27-51665","19.12.2014","14:21:05",27," Bod è. 11 - návrh p. Onderky Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Nepøijato",2875,2
"zmb-z7-02/20141219-28-51699","19.12.2014","14:21:39",28," Bod è. 11 - návrh pí Køemeèkové Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Nepøijato",2875,2
"zmb-z7-02/20141219-29-51733","19.12.2014","14:22:13",29," Bod è. 11 - 2. návrh pí Køemeèkové Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Nepøijato",2875,2
"zmb-z7-02/20141219-30-51762","19.12.2014","14:22:42",30," Bod è. 11 - návrh p. Vlašína Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Nepøijato",2875,2
"zmb-z7-02/20141219-31-51952","19.12.2014","14:25:53",31," Bod è. 11 - návrhy obèanù - 1. èást Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Pøijato",2875,2
"zmb-z7-02/20141219-32-52008","19.12.2014","14:26:48",32," Bod è. 11 - návrhy obèanù - èást 2a-i Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Pøijato",2875,2
"zmb-z7-02/20141219-33-52058","19.12.2014","14:27:38",33," Bod è. 11 - návrhy obèanù - 3. èást Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Pøijato",2875,2
"zmb-z7-02/20141219-34-52097","19.12.2014","14:28:17",34," Bod è. 11 Návrh rozpoètu statutárního mìsta Brna na rok 2015 ","Pøijato",2875,2
"zmb-z7-02/20141219-35-52157","19.12.2014","14:29:17",35," Bod è. 12 Návrh na poskytnutí neinvestièních transferù mìstskım èástem – 2. kolo – návrh rozpoètového opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-36-52206","19.12.2014","14:30:06",36," Bod è. 13 Zmìny vıše neinvestièních pøíspìvkù zøízenım pøíspìvkovım organizacím v pùsobnosti Odboru kultury MMB z rozpoètu zøizovatele v roce 2014 a pøesun finanèních prostøedkù v rámci Odboru kultury MMB - návrh rozpoètovıch opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-37-52275","19.12.2014","14:31:15",37," Bod è. 14 - odst. 3 Navıšení neinvestièních pøíspìvkù pro pøíspìvkové organizace v pùsobnosti Odboru kultury z rozpoètu zøizovatele v roce 2014 – návrh rozpoètového opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-38-52300","19.12.2014","14:31:40",38," Bod è. 14 Navıšení neinvestièních pøíspìvkù pro pøíspìvkové organizace v pùsobnosti Odboru kultury z rozpoètu zøizovatele v roce 2014 – návrh rozpoètového opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-39-52334","19.12.2014","14:32:14",39," Bod è. 15 Návrh na poskytnutí pøíspìvku na provoz Úrazové nemocnici v Brnì z rozpoètu mìsta Brna na rok 2014, návrh rozpoètového opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-40-52369","19.12.2014","14:32:49",40," Bod è. 16 Návrh na poskytnutí dotací nestátním neziskovım organizacím na projekty v sociální oblasti - návrh rozpoètového opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-41-52402","19.12.2014","14:33:22",41," Bod è. 17 Návrh smlouvy o poskytnutí dotace na projekt Moravian Science Centre Brno ","Pøijato",2875,2
"zmb-z7-02/20141219-42-52448","19.12.2014","14:34:08",42," Bod è. 19 Návrh dodatku è. 1 ke smlouvì o poskytnutí dotace z rozpoètu mìsta Brna è. 7414093372 ","Pøijato",2875,2
"zmb-z7-02/20141219-43-52531","19.12.2014","14:35:31",43," Bod è. 20 Návrh dodatku è. 13 ke Zøizovací listinì Domova pro seniory Vìstonická, pøíspìvkové organizace ","Pøijato",2875,2
"zmb-z7-02/20141219-44-52620","19.12.2014","14:37:00",44," Bod è. 24 Návrh prodeje pozemkù p. è. 1276/15, 1276/12, 1276/13, 1276/14 k. ú. Slatina ","Pøijato",2875,2
"zmb-z7-02/20141219-45-52849","19.12.2014","14:40:49",45," Bod è. 31 Návrh prodeje pozemku p. è. 1394/26 v k. ú. Lesná do vlastnictví spoleènosti KRÁLOVOPOLSKÁ RIA, a. s. ","Pøijato",2875,2
"zmb-z7-02/20141219-46-52874","19.12.2014","14:41:15",46," Body è. 25-30, 32-35 ","Pøijato",2875,2
"zmb-z7-02/20141219-47-52914","19.12.2014","14:41:54",47," Bod è. 36 Zrušení usnesení ZMB è.Z6/030, bod è.31 ve vìci prodeje pozemku p. è. 5560 v k. ú. Bystrc ","Pøijato",2875,2
"zmb-z7-02/20141219-48-53005","19.12.2014","14:43:25",48," Bod è. 40 Návrh nabytí pozemkù p. è. 3962, 3963, 3964/1, 3964/2 v k. ú. Chrlice ","Pøijato",2875,2
"zmb-z7-02/20141219-49-53027","19.12.2014","14:43:47",49," Body è. 37-39 ","Pøijato",2875,2
"zmb-z7-02/20141219-50-53061","19.12.2014","14:44:21",50," Bod è. 41 Návrh svìøení majetku mìsta MÈ Brno-idenice, pozemku p. è. 3805/7 v k. ú. idenice ","Pøijato",2875,2
"zmb-z7-02/20141219-51-53099","19.12.2014","14:44:59",51," Bod è. 42 Návrh odnìtí svìøeného majetku mìsta MÈ Brno – Bohunice, pozemkù p. è. 1189, 1190/2, 1192/1 v k. ú. Bohunice ","Pøijato",2875,2
"zmb-z7-02/20141219-52-53169","19.12.2014","14:46:09",52," Bod è. 43 Návrh zmìny usnesení Z6/037. zasedání Zastupitelstva mìsta Brna, bod è. 97 – návrh smìny èástí pozemkù p. è. 524/2 a p. è. 525/1 za èásti pozemkù p. è. 524/1 a p. è. 4814/5, vše v k. ú. abovøesky, v ul. Dunajevského ","Pøijato",2875,2
"zmb-z7-02/20141219-53-53285","19.12.2014","14:48:05",53," Bod è. 44 Návrh dodatku è. 14 ke Smlouvì o závazku veøejné sluby a kompenzaci z veøejné pøepravy cestujících uzavøené mezi Statutárním mìstem Brnem a Dopravním podnikem mìsta Brna, a. s. ","Pøijato",2875,2
"zmb-z7-02/20141219-54-53315","19.12.2014","14:48:35",54," Bod è. 45 Veøejná zakázka „Revitalizace mìstskıch parkù, III. etapa“ – odùvodnìní veøejné zakázky ","Pøijato",2875,2
"zmb-z7-02/20141219-55-53355","19.12.2014","14:49:15",55," Bod è. 46 Urèení èlena Zastupitelstva mìsta Brna pro spolupráci s Odborem územního plánování a rozvoje MMB pøi poøizování územnì plánovací dokumentace a jejích zmìn ","Pøijato",2875,2
"zmb-z7-02/20141219-56-53394","19.12.2014","14:49:54",56," Bod è. 47 Aktualizace Integrovaného plánu rozvoje mìsta Brna II: Zvıšení kvality poskytovanıch slueb pro veøejnost a rozšíøení obèanské vybavenosti mìsta ","Pøijato",2875,2
"zmb-z7-02/20141219-57-53427","19.12.2014","14:50:27",57," Bod è. 48 Tvorba a pøesun finanèních prostøedkù z Fondu kofinancování evropskıch projektù – prosinec 2014 – návrh rozpoètového opatøení ","Pøijato",2875,2
"zmb-z7-02/20141219-58-53458","19.12.2014","14:50:58",58," Bod è. 49 Projekty financované z Fondu kofinancování evropskıch projektù – prosinec 2014 ","Pøijato",2875,2
"zmb-z7-02/20141219-59-53493","19.12.2014","14:51:33",59," Bod è. 50 Projekt IPRM „Knihovna pro mìsto II. – vzdìlávání na míru“ - posouzení projektu ","Pøijato",2875,2
"zmb-z7-02/20141219-60-53528","19.12.2014","14:52:08",60," Bod è. 51 Projekt IPRM „Pøírodovìdné kognitorium - vìdecká stezka"" – posouzení projektu ","Pøijato",2875,2
"zmb-z7-02/20141219-61-53558","19.12.2014","14:52:38",61," Bod è. 52 Projekt IPRM „Areál dopravní vıchovy, II. etapa“ - posouzení projektu; ádost o dotaci ","Pøijato",2875,2
