"group:id","option","vote_event:id","voter:id"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Pavel Boleslav"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Miloslav Humpolíček"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Jiří Ides"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Naděžda Křemečková"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Jiří Novotný"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Jiří Oliva"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Roman Onderka"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Oliver Pospíšil"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Pavel Sázavský"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Petr Šafařík"
"ČSSD","Ano","zmb-z7-01/20141125-12-32363","Vlastimil Žďárský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Vít Beran"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Antonín Crha"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Petr Hladík"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Stanislav Juránek"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Klára Liptáková"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Daniel Rychnovský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-12-32363","Jaroslav Suchý"
"KSČM","Ano","zmb-z7-01/20141125-12-32363","Daniel Borecký"
"KSČM","Ano","zmb-z7-01/20141125-12-32363","Jiří Hráček"
"KSČM","Ano","zmb-z7-01/20141125-12-32363","Martin Říha"
"KSČM","Ano","zmb-z7-01/20141125-12-32363","Helena Sýkorová"
"ODS","Ano","zmb-z7-01/20141125-12-32363","Šárka Cechová"
"ODS","Ano","zmb-z7-01/20141125-12-32363","Robert Kerndl"
"ODS","Ano","zmb-z7-01/20141125-12-32363","Petr Kratochvíl"
"ODS","Ano","zmb-z7-01/20141125-12-32363","Libor Šťástka"
"ODS","Ano","zmb-z7-01/20141125-12-32363","František Vižďa"
"SZ","Ano","zmb-z7-01/20141125-12-32363","Martin Ander"
"SZ","Ano","zmb-z7-01/20141125-12-32363","Jana Drápalová"
"SZ","Ano","zmb-z7-01/20141125-12-32363","Ivana Fajnorová"
"SZ","Ano","zmb-z7-01/20141125-12-32363","Mojmír Vlašín"
"TOP 09","Ano","zmb-z7-01/20141125-12-32363","Josef Drbal"
"TOP 09","Ano","zmb-z7-01/20141125-12-32363","Zdeňka Dubová"
"TOP 09","Ano","zmb-z7-01/20141125-12-32363","Jaroslav Kacer"
"TOP 09","Ano","zmb-z7-01/20141125-12-32363","Pavel Urubek"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Martin Freund"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Karla Hofmannová"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Jan Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Matěj Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Hana Kašpaříková"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Tomáš Koláčný"
"ŽTB","Ano","zmb-z7-01/20141125-12-32363","Jiří Ulip"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Lubora Bednaříková"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Petr Bořecký"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Marek Janíček"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Karin Karasová"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Tomáš Kratochvíl"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Barbora Maťáková"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Richard Mrázek"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","René Novotný"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Robert Plaga"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Petra Rusňáková"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Martin Schwab"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Pavel Staněk"
"ANO 2011","Ano","zmb-z7-01/20141125-13-32395","Petr Vokřál"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Pavel Boleslav"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Miloslav Humpolíček"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Jiří Ides"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Naděžda Křemečková"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Jiří Novotný"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Jiří Oliva"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Roman Onderka"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Oliver Pospíšil"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Pavel Sázavský"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Petr Šafařík"
"ČSSD","Ano","zmb-z7-01/20141125-13-32395","Vlastimil Žďárský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Vít Beran"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Antonín Crha"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Petr Hladík"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Stanislav Juránek"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Klára Liptáková"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Daniel Rychnovský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-13-32395","Jaroslav Suchý"
"KSČM","Ano","zmb-z7-01/20141125-13-32395","Daniel Borecký"
"KSČM","Ano","zmb-z7-01/20141125-13-32395","Jiří Hráček"
"KSČM","Ano","zmb-z7-01/20141125-13-32395","Martin Říha"
"KSČM","Ano","zmb-z7-01/20141125-13-32395","Helena Sýkorová"
"ODS","Ano","zmb-z7-01/20141125-13-32395","Šárka Cechová"
"ODS","Zdržel se","zmb-z7-01/20141125-13-32395","Robert Kerndl"
"ODS","Nehlasoval","zmb-z7-01/20141125-13-32395","Petr Kratochvíl"
"ODS","Zdržel se","zmb-z7-01/20141125-13-32395","Libor Šťástka"
"ODS","Ano","zmb-z7-01/20141125-13-32395","František Vižďa"
"SZ","Ano","zmb-z7-01/20141125-13-32395","Martin Ander"
"SZ","Ano","zmb-z7-01/20141125-13-32395","Jana Drápalová"
"SZ","Ano","zmb-z7-01/20141125-13-32395","Ivana Fajnorová"
"SZ","Ano","zmb-z7-01/20141125-13-32395","Mojmír Vlašín"
"TOP 09","Ano","zmb-z7-01/20141125-13-32395","Josef Drbal"
"TOP 09","Ano","zmb-z7-01/20141125-13-32395","Zdeňka Dubová"
"TOP 09","Ano","zmb-z7-01/20141125-13-32395","Jaroslav Kacer"
"TOP 09","Ano","zmb-z7-01/20141125-13-32395","Pavel Urubek"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Martin Freund"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Karla Hofmannová"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Jan Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Matěj Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Hana Kašpaříková"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Tomáš Koláčný"
"ŽTB","Ano","zmb-z7-01/20141125-13-32395","Jiří Ulip"
